Component,Asp. Rack,Asp. Posi,Dsp. Rack,Dsp. Posi,Volume
1-pTDH3,source,1,Destination_1,A1,8
2-pPGK1,source,6,Destination_1,A1,8
3-pCCW12,source,11,Destination_1,A1,8
etc,source,16,Destination_1,A1,9
1-pTDH3,source,1,Destination_1,B1,8
2-pPGK1,source,6,Destination_1,B1,8
3-pHHF2,source,12,Destination_1,B1,8
etc,source,16,Destination_1,B1,9
1-pTDH3,source,1,Destination_1,C1,8
2-pPGK1,source,6,Destination_1,C1,8
3-pRPL18B,source,13,Destination_1,C1,8
etc,source,16,Destination_1,C1,9
1-pTDH3,source,1,Destination_1,D1,8
2-pPGK1,source,6,Destination_1,D1,8
3-pRET2,source,14,Destination_1,D1,8
etc,source,16,Destination_1,D1,9
1-pTDH3,source,1,Destination_1,E1,8
2-pPGK1,source,6,Destination_1,E1,8
3-pRNR1,source,15,Destination_1,E1,8
etc,source,16,Destination_1,E1,9
1-pTDH3,source,1,Destination_1,F1,8
2-pTEF1,source,7,Destination_1,F1,8
3-pCCW12,source,11,Destination_1,F1,8
etc,source,16,Destination_1,F1,9
1-pTDH3,source,1,Destination_1,G1,8
2-pTEF1,source,7,Destination_1,G1,8
3-pHHF2,source,12,Destination_1,G1,8
etc,source,16,Destination_1,G1,9
1-pTDH3,source,1,Destination_1,H1,8
2-pTEF1,source,7,Destination_1,H1,8
3-pRPL18B,source,13,Destination_1,H1,8
etc,source,16,Destination_1,H1,9
1-pTDH3,source,1,Destination_1,A2,8
2-pTEF1,source,7,Destination_1,A2,8
3-pRET2,source,14,Destination_1,A2,8
etc,source,16,Destination_1,A2,9
1-pTDH3,source,1,Destination_1,B2,8
2-pTEF1,source,7,Destination_1,B2,8
3-pRNR1,source,15,Destination_1,B2,8
etc,source,16,Destination_1,B2,9
1-pTDH3,source,1,Destination_1,C2,8
2-pHHF1,source,8,Destination_1,C2,8
3-pCCW12,source,11,Destination_1,C2,8
etc,source,16,Destination_1,C2,9
1-pTDH3,source,1,Destination_1,D2,8
2-pHHF1,source,8,Destination_1,D2,8
3-pHHF2,source,12,Destination_1,D2,8
etc,source,16,Destination_1,D2,9
1-pTDH3,source,1,Destination_1,E2,8
2-pHHF1,source,8,Destination_1,E2,8
3-pRPL18B,source,13,Destination_1,E2,8
etc,source,16,Destination_1,E2,9
1-pTDH3,source,1,Destination_1,F2,8
2-pHHF1,source,8,Destination_1,F2,8
3-pRET2,source,14,Destination_1,F2,8
etc,source,16,Destination_1,F2,9
1-pTDH3,source,1,Destination_1,G2,8
2-pHHF1,source,8,Destination_1,G2,8
3-pRNR1,source,15,Destination_1,G2,8
etc,source,16,Destination_1,G2,9
1-pTDH3,source,1,Destination_1,H2,8
2-pPAB1,source,9,Destination_1,H2,8
3-pCCW12,source,11,Destination_1,H2,8
etc,source,16,Destination_1,H2,9
1-pTDH3,source,1,Destination_1,A3,8
2-pPAB1,source,9,Destination_1,A3,8
3-pHHF2,source,12,Destination_1,A3,8
etc,source,16,Destination_1,A3,9
1-pTDH3,source,1,Destination_1,B3,8
2-pPAB1,source,9,Destination_1,B3,8
3-pRPL18B,source,13,Destination_1,B3,8
etc,source,16,Destination_1,B3,9
1-pTDH3,source,1,Destination_1,C3,8
2-pPAB1,source,9,Destination_1,C3,8
3-pRET2,source,14,Destination_1,C3,8
etc,source,16,Destination_1,C3,9
1-pTDH3,source,1,Destination_1,D3,8
2-pPAB1,source,9,Destination_1,D3,8
3-pRNR1,source,15,Destination_1,D3,8
etc,source,16,Destination_1,D3,9
1-pTDH3,source,1,Destination_1,E3,8
2-pSAC6,source,10,Destination_1,E3,8
3-pCCW12,source,11,Destination_1,E3,8
etc,source,16,Destination_1,E3,9
1-pTDH3,source,1,Destination_1,F3,8
2-pSAC6,source,10,Destination_1,F3,8
3-pHHF2,source,12,Destination_1,F3,8
etc,source,16,Destination_1,F3,9
1-pTDH3,source,1,Destination_1,G3,8
2-pSAC6,source,10,Destination_1,G3,8
3-pRPL18B,source,13,Destination_1,G3,8
etc,source,16,Destination_1,G3,9
1-pTDH3,source,1,Destination_1,H3,8
2-pSAC6,source,10,Destination_1,H3,8
3-pRET2,source,14,Destination_1,H3,8
etc,source,16,Destination_1,H3,9
1-pTDH3,source,1,Destination_1,A4,8
2-pSAC6,source,10,Destination_1,A4,8
3-pRNR1,source,15,Destination_1,A4,8
etc,source,16,Destination_1,A4,9
1-pTEF2,source,2,Destination_1,B4,8
2-pPGK1,source,6,Destination_1,B4,8
3-pCCW12,source,11,Destination_1,B4,8
etc,source,16,Destination_1,B4,9
1-pTEF2,source,2,Destination_1,C4,8
2-pPGK1,source,6,Destination_1,C4,8
3-pHHF2,source,12,Destination_1,C4,8
etc,source,16,Destination_1,C4,9
1-pTEF2,source,2,Destination_1,D4,8
2-pPGK1,source,6,Destination_1,D4,8
3-pRPL18B,source,13,Destination_1,D4,8
etc,source,16,Destination_1,D4,9
1-pTEF2,source,2,Destination_1,E4,8
2-pPGK1,source,6,Destination_1,E4,8
3-pRET2,source,14,Destination_1,E4,8
etc,source,16,Destination_1,E4,9
1-pTEF2,source,2,Destination_1,F4,8
2-pPGK1,source,6,Destination_1,F4,8
3-pRNR1,source,15,Destination_1,F4,8
etc,source,16,Destination_1,F4,9
1-pTEF2,source,2,Destination_1,G4,8
2-pTEF1,source,7,Destination_1,G4,8
3-pCCW12,source,11,Destination_1,G4,8
etc,source,16,Destination_1,G4,9
1-pTEF2,source,2,Destination_1,H4,8
2-pTEF1,source,7,Destination_1,H4,8
3-pHHF2,source,12,Destination_1,H4,8
etc,source,16,Destination_1,H4,9
1-pTEF2,source,2,Destination_1,A5,8
2-pTEF1,source,7,Destination_1,A5,8
3-pRPL18B,source,13,Destination_1,A5,8
etc,source,16,Destination_1,A5,9
1-pTEF2,source,2,Destination_1,B5,8
2-pTEF1,source,7,Destination_1,B5,8
3-pRET2,source,14,Destination_1,B5,8
etc,source,16,Destination_1,B5,9
1-pTEF2,source,2,Destination_1,C5,8
2-pTEF1,source,7,Destination_1,C5,8
3-pRNR1,source,15,Destination_1,C5,8
etc,source,16,Destination_1,C5,9
1-pTEF2,source,2,Destination_1,D5,8
2-pHHF1,source,8,Destination_1,D5,8
3-pCCW12,source,11,Destination_1,D5,8
etc,source,16,Destination_1,D5,9
1-pTEF2,source,2,Destination_1,E5,8
2-pHHF1,source,8,Destination_1,E5,8
3-pHHF2,source,12,Destination_1,E5,8
etc,source,16,Destination_1,E5,9
1-pTEF2,source,2,Destination_1,F5,8
2-pHHF1,source,8,Destination_1,F5,8
3-pRPL18B,source,13,Destination_1,F5,8
etc,source,16,Destination_1,F5,9
1-pTEF2,source,2,Destination_1,G5,8
